names,codes
11-Beta-Hydroxylase Deficiency,C131085
"22q11.2 Deletion Syndrome, 22q Deletion Syndrome(s), 22q11 deletion, CATCH-22, DGS1, DiGeorge Anomaly, DiGeorge Sequence, DiGeorge Syndrome, DiGeorge Syndrome Type 1, DiGeorge's Syndrome, FACES, Shprintzen Syndrome",C2989
"AIDS Related Immunoblastic Lymphoma, AIDS Associated Immunoblastic Lymphoma, AIDS Related Immunoblastic Large Cell Lymphoma, AIDS-Associated Immunoblastic Large Cell Lymphoma, AIDS-Related Immunoblastic Lymphoma",C8285
"AIDS-Related Anal Carcinoma, AIDS-Related Anal Cancer",C9278
"AIDS-Related Burkitt Lymphoma, AIDS Related Burkitt's Lymphoma, AIDS Related Small Non Cleaved Cell Lymphoma, AIDS-Associated Burkitt's Lymphoma, AIDS-Associated Small Non Cleaved Cell Lymphoma, AIDS-Related Burkitt's Lymphoma, AIDS-Related Small Non-Cleaved Cell Lymphoma",C8286
"AIDS-Related Cervical Cancer, AIDS Related Carcinoma of Uterine Cervix, AIDS Related Carcinoma of the Uterine Cervix, AIDS Related Cervical Cancer, AIDS-Related Cancer of Uterine Cervix, AIDS-Related Cancer of the Uterine Cervix, AIDS-Related Cervical Carcinoma, AIDS-Related Cervix Carcinoma, AIDS-Related Uterine Cervix Cancer, AIDS-Related Uterine Cervix Carcinoma",C7432
AIDS-Related Diffuse Large B-cell Lymphoma,C7212
"AIDS-Related Hodgkin Lymphoma, AIDS-Associated Hodgkin's Disease, AIDS-Associated Hodgkin's Lymphoma, AIDS-Related Hodgkin's Disease, AIDS-Related Hodgkin's Lymphoma, HIV-Associated Hodgkin's Disease, HIV-Associated Hodgkin's Lymphoma, HIV-Related Hodgkin's Disease, HIV-Related Hodgkin's Lymphoma",C9279
"AIDS-Related Kaposi Sarcoma, AIDS Related Kaposi's Sarcoma, AIDS, Kaposi's Sarcoma, AIDS-Related Kaposi's Sarcoma, Autoimmune Deficiency Syndrome-Related Kaposi Sarcoma, Epidemic Kaposi's Sarcoma, Kaposi's Sarcoma AIDS Related, Kaposi's Sarcoma Epidemic Type",C3992
"AIDS-Related Lymphoma, AIDS Lymphoma, AIDS Related Lymphoma, HIV Associated Lymphoma, Lymphoma AIDS Related, Lymphoma, AIDS-Related",C3471
"AIDS-Related Non-Hodgkin Lymphoma, AIDS-Related Non-Hodgkin's Lymphoma, AIDS-related NHL",C5051
AIDS-Related Plasmablastic Lymphoma,C27859
"AIDS-Related Primary Central Nervous System Lymphoma, AIDS Related Lymphoma of Primary Central Nervous System, AIDS Related Lymphoma of the Primary Central Nervous System, AIDS Related Primary CNS Lymphoma, AIDS Related Primary Central Nervous System Lymphoma, AIDS-Related Lymphoma of Primary Central Nervous System, AIDS-Related Lymphoma of the Primary Central Nervous System, AIDS-Related Primary CNS Lymphoma",C8284
AIDS-Related Primary Effusion Lymphoma,C9017
"AL Amyloidosis, Ig Light Chain Amyloidosis, Immunoglobulin-Related Amyloidosis",C158963
"ALK Fusion Protein Expression, ALK Fusion Protein Positive, ALK Tyrosine Kinase Receptor Fusion Protein Expression, Anaplastic Lymphoma Kinase Fusion Protein Expression, CD246 Antigen Fusion Protein Expression",C81946
"ALK Gene Mutation, ALK Mutation, ALK Receptor Tyrosine Kinase Gene Mutation, Anaplastic Lymphoma Kinase (Ki-1) Gene Mutation, Anaplastic Lymphoma Kinase Receptor Gene Mutation, Anaplastic Lymphoma Receptor Tyrosine Kinase Gene Mutation, CD246 Gene Mutation",C81945
"ALK wt Allele, ALK, ALK Receptor Tyrosine Kinase wt Allele, Anaplastic Lymphoma Kinase (Ki-1) Gene, Anaplastic Lymphoma Receptor Tyrosine Kinase Gene, CD246, NBLST3",C51738
ALK-Positive Histiocytosis,C200105
"ALK-Positive Large B-Cell Lymphoma, ALK positive large B-cell lymphoma, ALK-DLBCL, Diffuse Large B-Cell Lymphoma with Expression of Full-Length ALK, Diffuse Large B-Cell Lymphoma with Expression of Full-Length Anaplastic Lymphoma Kinase",C7225
"ALK-Positive Lung Non-Small Cell Carcinoma, ALK+ NSCLC, ALK-Positive NSCLC",C215346
"APC Gene Mutation, APC, WNT Signaling Pathway Regulator Gene Mutation, Adenomatosis Polyposis Gene Mutation, BTPS2 Gene Mutation, FAP Gene Mutation, FPC Gene Mutation, PPP1R46 Gene Mutation",C134473
Abdominal Rhabdomyosarcoma,C151982
"Accelerated Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive, Accelerated Phase CML, Accelerated Phase Chronic Granulocytic Leukemia, Accelerated Phase Chronic Myelocytic Leukemia, Accelerated Phase Chronic Myelogenous Leukemia, Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive, Accelerated Phase Chronic Myelogenous Leukemia, BCR::ABL1 Positive, Accelerated Phase Chronic Myeloid Leukemia, Accelerated Phase Chronic Myeloid Leukemia, BCR::ABL1 Positive, Aggressive-Phase CML, Aggressive-Phase Chronic Myelocytic Leukemia, Aggressive-Phase Chronic Myelogenous Leukemia, Aggressive-Phase Chronic Myeloid Leukemia",C3173
"Accelerated Phase Myeloproliferative Neoplasm, MPN-AP",C188315
Accelerated Phase Primary Myelofibrosis,C188317
"Acinar Cell Carcinoma, Acinar Adenocarcinoma, Acinar Carcinoma, Acinar Cell Adenocarcinoma, Acinic Cell Adenocarcinoma, Acinic Cell Carcinoma, CARCINOMA, ACINAR CELL, MALIGNANT",C3768
"Acneiform Dermatitis, Rash acneiform",C35277
"Acoustic Schwannoma, Acoustic Neurilemmoma, Acoustic Neuroma, Neurilemoma, Acoustic, Neuroma, Acoustic, Vestibular Neurilemmoma, Vestibular Schwannoma",C3276
"Acquired Amegakaryocytic Thrombocytopenia, AAMT, AAT, AATP, Acquired Amegakaryocytic Thrombocytopenic Purpura",C207809
"Acquired Immunodeficiency Syndrome, AIDS, Acquired Immune Deficiency, Acquired Immunodeficiency, Acquired Immunodeficiency Disease, HIV/AIDS",C2851
Acquired Pure Red Cell Aplasia,C70548
"Acquired Thrombotic Thrombocytopenic Purpura, Acquired ADAMTS13 Deficiency, Acquired TTP",C131653
"Acral Lentiginous Melanoma, Acral Lentiginous Malignant Melanoma, Acral lentiginous melanoma, malignant",C4022
Acral Melanoma,C204883
Acromegaly,C84533
"Actinic (Solar) Keratosis, AK, Actinic Keratosis, Senile Hyperkeratosis, Senile Keratosis, Solar Keratosis",C3148
"Acute Adult T-Cell Leukemia/Lymphoma, Acute Adult T-Cell Lymphoma/Leukemia",C36265
"Acute Allograft Nephropathy, Acute Kidney Allograft Nephropathy, Kidney Transplant Rejection",C114838
"Acute Basophilic Leukemia, Adult Acute Basophilic Leukemia",C7964
Acute Bilineal Leukemia,C6923
"Acute Biphenotypic Leukemia, Infant Acute Biphenotypic Leukemia","C4673, C126111"
"Acute Chest Syndrome, ACS",C138179
"Acute Erythroid Leukemia, AEL, Acute Erythroblastic Leukemia, Acute erythroid leukaemia, Adult Acute Erythroid Leukemia, Adult Acute M6 Leukemia, Childhood Acute Erythroid Leukemia, Childhood M6 Leukemia, Erythroblastic Leukemia, Fab M6, LEUKEMIA, ERYTHROID, MALIGNANT, M6, M6 Acute Myeloid Leukemia, M6 OR Acute Erythroid Leukemia, Pediatric Acute Erythroid Leukemia, Pediatric M6 Leukemia","C8923, C9153, C9164"
Acute Esophagitis,C97066
"Acute Graft Versus Host Disease, Acute, Acute GVHD, Fulminant Graft Versus Host Disease, GVHD, acute, Graft versus host disease, acute",C4980
"Acute Hepatic Porphyria, ALAD Deficiency, Delta-Aminolevulinate Dehydratase Deficiency, Porphobilinogen Synthase Deficiency",C133887
"Acute Intermittent Porphyria, Porphyria, Acute Intermittent",C84536
Acute Leukemia,C9300
"Acute Leukemia in Remission, Acute Leukemia (in Remission), Acute leukemia of unspecified cell type, in remission, Childhood Acute Leukemia in Remission, Pediatric Acute Leukemia in Remission","C4897, C9116"
"Acute Leukemia of Ambiguous Lineage, ALAL, Acute Leukemia of Ambiguous Lineage (ALAL), Acute Leukemia of Indeterminate Lineage, Acute Leukemia, ambiguous lineage (mixed or biphenotypic)",C7464
"Acute Lymphoblastic Leukemia (ALL), ALL, ALL - Acute Lymphocytic Leukemia, ALL_TYPE, Acute Lymphoblastic Leukemia, Acute Lymphocytic Leukaemia, Acute Lymphocytic Leukemia, Acute Lymphocytic Leukemias, Acute Lymphogenous Leukemia, Acute Lymphoid Leukemia, Acute lymphatic leukemia, Acute lymphoblastic leukemia, NOS, Acute lymphoblastic leukemia, precursor cell type, Adult ALL, Adult Acute Lymphoblastic Leukemia, Adult Acute Lymphocytic Leukemia, Adult Acute Lymphogenous Leukemia, Adult Acute Lymphoid Leukemia, Adult Precursor Lymphoblastic Leukemia, Childhood ALL, Childhood Acute Lymphoblastic Leukemia, Childhood Acute Lymphocytic Leukemia, Childhood Acute Lymphogenous Leukemia, Childhood Acute Lymphoid Leukemia, Childhood Precursor Lymphoblastic Leukemia, Common precursor B ALL, LEUKEMIA, LYMPHOBLASTIC, MALIGNANT, Lymphoblastic Leukemia, Lymphoblastic leukemia, NOS, Pediatric ALL, Pediatric Acute Lymphoblastic Leukemia, Pediatric Acute Lymphocytic Leukemia, Pediatric Acute Lymphocytic Leukemia (ALL), Pediatric Acute Lymphogenous Leukemia, Pediatric Acute Lymphoid Leukemia, Precursor Cell Lymphoblastic Leukemia, Precursor Lymphoblasic Leukemia, Precursor Lymphoblastic Leukemia, Precursor cell lymphoblastic leukemia, NOS, c-ALL","C3167, C3168, C4967"
"Acute Lymphoblastic Leukemia (ALL) in Complete Remission, Adult Acute Lymphoblastic Leukemia in Complete Remission, Adult Acute Lymphocytic Leukemia in Complete Remission, Adult Acute Lymphogenous Leukemia in Complete Remission, Adult Acute Lymphoid Leukemia in Complete Remission, Adult Precursor Lymphoblastic Leukemia in Complete Remission, Childhood Acute Lymphoblastic Leukemia in Complete Remission, Childhood Acute Lymphocytic Leukemia in Complete Remission, Childhood Acute Lymphogenous Leukemia in Complete Remission, Childhood Acute Lymphoid Leukemia in Complete Remission, Childhood Precursor Lymphoblastic Leukemia in Complete Remission, Pediatric Acute Lymphoblastic Leukemia in Complete Remission, Pediatric Acute Lymphocytic Leukemia in Complete Remission, Pediatric Acute Lymphogenous Leukemia in Complete Remission, Pediatric Acute Lymphoid Leukemia in Complete Remission","C5622, C5262"
"Acute Lymphoblastic Leukemia (ALL) in Partial Remission, Adult Acute Lymphoblastic Leukemia in Partial Remission, Adult Acute Lymphocytic Leukemia in Partial Remission, Adult Acute Lymphogenous Leukemia in Partial Remission, Adult Acute Lymphoid Leukemia in Partial Remission, Adult Precursor Lymphoblastic Leukemia in Partial Remission, Childhood Acute Lymphoblastic Leukemia in Partial Remission, Childhood Acute Lymphocytic Leukemia in Partial Remission, Childhood Acute Lymphogenous Leukemia in Partial Remission, Childhood Acute Lymphoid Leukemia in Partial Remission, Childhood Precursor Lymphoblastic Leukemia in Partial Remission, Pediatric Acute Lymphoblastic Leukemia in Partial Remission, Pediatric Acute Lymphocytic Leukemia in Partial Remission, Pediatric Acute Lymphogenous Leukemia in Partial Remission, Pediatric Acute Lymphoid Leukemia in Partial Remission","C5261, C5623"
